# Used nand with SR and FF classes instead of nor

         484985863 function calls (483125073 primitive calls) in 55.276 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
248837060    5.975    0.000    5.975    0.000 bit.py:52(nand)
 16974836    5.261    0.000   14.738    0.000 bit.py:56(mux)
  8488084    5.186    0.000   21.639    0.000 sequential.py:57(__call__)
  1853311    4.644    0.000   35.991    0.000 multi.py:9(__init__)
   530504    3.885    0.000   28.920    0.000 sequential.py:69(__call__)
   530422    3.329    0.000   13.116    0.000 multi.py:60(multimux)
 35017710    2.671    0.000    4.350    0.000 bit.py:30(__and__)
 59962934    2.552    0.000    4.199    0.000 bit.py:35(__invert__)
 16976203    2.108    0.000    3.555    0.000 sequential.py:16(__call__)
 16976196    1.946    0.000    6.416    0.000 sequential.py:33(__call__)
306864/79276    1.859    0.000   15.229    0.000 multi.py:75(reduce_winner)
 16978840    1.690    0.000    3.939    0.000 bit.py:39(__or__)
306864/79276    1.611    0.000    2.475    0.000 multi.py:93(expand_winner)
  9018568    1.603    0.000   23.242    0.000 sequential.py:70(<genexpr>)
    37450    1.576    0.000    1.846    0.000 sequential.py:67(__init__)
5828180/4439281    1.506    0.000    2.153    0.000 {len}
  8488094    1.210    0.000    8.074    0.000 sequential.py:44(__call__)
  2155091    1.134    0.000    1.695    0.000 multi.py:13(__len__)
    67652    0.885    0.000   47.013    0.001 sequential.py:94(__call__)
  9017174    0.711    0.000    7.069    0.000 multi.py:63(<genexpr>)
 20365586    0.698    0.000    0.698    0.000 multi.py:19(__iter__)
11602/242    0.661    0.000   51.769    0.214 sequential.py:83(__call__)
    79276    0.430    0.000   16.188    0.000 multi.py:69(multimux_multiway)
   530618    0.399    0.000    1.480    0.000 multi.py:107(pad_multi)
   5349/5    0.265    0.000    2.114    0.423 sequential.py:78(__init__)
   458248    0.213    0.000    0.213    0.000 {math.log}
      660    0.212    0.000    0.555    0.001 ALU.py:12(full_adder)
    79276    0.174    0.000    2.754    0.000 multi.py:88(dmux_multiway)
   530356    0.122    0.000    0.423    0.000 bit.py:60(dmux)
   122403    0.075    0.000    0.075    0.000 {range}
   599202    0.073    0.000    0.168    0.000 sequential.py:41(__init__)
  1198405    0.063    0.000    0.095    0.000 sequential.py:31(__init__)
   783755    0.059    0.000    0.059    0.000 multi.py:29(__getitem__)
   599201    0.055    0.000    0.223    0.000 sequential.py:54(__init__)
      108    0.046    0.000    0.152    0.001 test_sequential.py:8(from_num)
     1287    0.041    0.000    0.072    0.000 multi.py:36(to_decimal)
        1    0.036    0.036    0.036    0.036 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.036    0.018    0.055    0.027 collections.py:237(namedtuple)
     2662    0.035    0.000    0.261    0.000 bit.py:43(__xor__)
  1198406    0.032    0.000    0.032    0.000 sequential.py:13(__init__)
     6224    0.020    0.000    0.020    0.000 bit.py:7(__new__)
        1    0.019    0.019    0.019    0.019 <string>:1(Mismatch)
     6224    0.017    0.000    0.017    0.000 bit.py:12(__init__)
     5032    0.016    0.000    0.019    0.000 multi.py:17(<genexpr>)
      298    0.016    0.000    0.035    0.000 {method 'join' of 'str' objects}
    16198    0.015    0.000    0.022    0.000 multi.py:43(<genexpr>)
        2    0.014    0.007    0.014    0.007 {time.time}
     1031    0.010    0.000    0.028    0.000 test_sequential.py:12(<genexpr>)
    14911    0.007    0.000    0.007    0.000 bit.py:23(__mul__)
     2002    0.007    0.000    0.250    0.000 ALU.py:6(half_adder)
     2584    0.006    0.000    0.012    0.000 multi.py:131(<genexpr>)
       22    0.005    0.000   44.342    2.016 sequential.py:114(__call__)
       22    0.004    0.000    0.583    0.026 ALU.py:22(add_multi)
      152    0.004    0.000    0.134    0.001 multi.py:126(pad_to_digits)
      296    0.004    0.000    0.039    0.000 multi.py:16(__str__)
     4736    0.003    0.000    0.003    0.000 bit.py:17(__repr__)
        1    0.002    0.002    0.066    0.066 __init__.py:1(<module>)
        1    0.002    0.002    0.025    0.025 case.py:1(<module>)
     1199    0.002    0.000    0.002    0.000 bit.py:20(__int__)
      148    0.002    0.000    0.003    0.000 case.py:473(_getAssertEqualityFunc)
     1309    0.002    0.000    0.002    0.000 {reversed}
        1    0.002    0.002   55.240   55.240 test_sequential.py:1(<module>)
     1135    0.002    0.000    0.002    0.000 {method 'insert' of 'list' objects}
        1    0.001    0.001    0.036    0.036 result.py:1(<module>)
      148    0.001    0.000    0.004    0.000 case.py:504(assertEqual)
      619    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
      130    0.001    0.000    0.001    0.000 {max}
       22    0.001    0.000    0.939    0.043 sequential.py:135(__call__)
       19    0.001    0.000    0.001    0.000 {method 'write' of 'file' objects}
        1    0.001    0.001    1.092    1.092 test_sequential.py:184(test_RAM64)
        1    0.001    0.001    5.500    5.500 test_sequential.py:239(test_RAM4K)
      142    0.001    0.000    0.001    0.000 {min}
      108    0.001    0.000    0.001    0.000 multi.py:32(insert)
        1    0.001    0.001    0.002    0.002 main.py:111(parseArgs)
        1    0.001    0.001    1.098    1.098 test_sequential.py:211(test_RAM512)
      374    0.001    0.000    0.001    0.000 sequential.py:143(<genexpr>)
      157    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001   46.430   46.430 test_sequential.py:268(test_RAM16K)
        1    0.000    0.000    0.003    0.003 {__import__}
      108    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
      241    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
      130    0.000    0.000    0.022    0.000 multi.py:23(__eq__)
       11    0.000    0.000   55.150    5.014 case.py:293(run)
