         1062176723 function calls (1060315933 primitive calls) in 130.675 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 84883652   30.707    0.000   46.225    0.000 bit.py:39(__or__)
503480084   15.405    0.000   15.405    0.000 bit.py:52(nand)
280653566   12.368    0.000   22.131    0.000 bit.py:35(__invert__)
 16976196   10.784    0.000   72.471    0.000 sequential.py:33(__call__)
 16976203    9.917    0.000   53.769    0.000 sequential.py:16(__call__)
 68970102    8.646    0.000   12.591    0.000 bit.py:30(__and__)
  1853311    5.999    0.000  109.945    0.000 multi.py:9(__init__)
  8488084    5.631    0.000   91.640    0.000 sequential.py:57(__call__)
   530504    5.319    0.000  102.730    0.000 sequential.py:69(__call__)
 16974836    4.121    0.000   17.960    0.000 bit.py:56(mux)
   530422    3.137    0.000   14.406    0.000 multi.py:60(multimux)
  9018568    2.771    0.000   94.409    0.000 sequential.py:70(<genexpr>)
  8488094    2.287    0.000   75.828    0.000 sequential.py:44(__call__)
    37450    1.938    0.000    2.269    0.000 sequential.py:67(__init__)
306864/79276    1.919    0.000   16.619    0.000 multi.py:75(reduce_winner)
5828180/4439281    1.618    0.000    2.224    0.000 {len}
  2155091    1.121    0.000    1.720    0.000 multi.py:13(__len__)
306864/79276    1.046    0.000    1.929    0.000 multi.py:93(expand_winner)
    67652    1.013    0.000  122.325    0.002 sequential.py:94(__call__)
11602/242    0.762    0.000  126.980    0.525 sequential.py:83(__call__)
 20365586    0.695    0.000    0.695    0.000 multi.py:19(__iter__)
  9017174    0.692    0.000    8.471    0.000 multi.py:63(<genexpr>)
    79276    0.574    0.000   17.779    0.000 multi.py:69(multimux_multiway)
   530618    0.434    0.000    1.497    0.000 multi.py:107(pad_multi)
   5349/5    0.270    0.000    2.543    0.509 sequential.py:78(__init__)
   458248    0.222    0.000    0.222    0.000 {math.log}
    79276    0.187    0.000    2.298    0.000 multi.py:88(dmux_multiway)
      660    0.182    0.000    0.379    0.001 ALU.py:12(full_adder)
   530356    0.138    0.000    0.449    0.000 bit.py:60(dmux)
   122403    0.133    0.000    0.133    0.000 {range}
   783755    0.102    0.000    0.102    0.000 multi.py:29(__getitem__)
  1198405    0.069    0.000    0.112    0.000 sequential.py:31(__init__)
   599202    0.067    0.000    0.179    0.000 sequential.py:41(__init__)
   599201    0.047    0.000    0.226    0.000 sequential.py:54(__init__)
  1198406    0.043    0.000    0.043    0.000 sequential.py:13(__init__)
     1287    0.042    0.000    0.069    0.000 multi.py:36(to_decimal)
     2662    0.040    0.000    0.108    0.000 bit.py:43(__xor__)
     6224    0.022    0.000    0.022    0.000 bit.py:12(__init__)
      108    0.021    0.000    0.148    0.001 test_sequential.py:8(from_num)
     6224    0.016    0.000    0.016    0.000 bit.py:7(__new__)
      298    0.015    0.000    0.028    0.000 {method 'join' of 'str' objects}
     2584    0.015    0.000    0.021    0.000 multi.py:131(<genexpr>)
        1    0.014    0.014  130.636  130.636 runner.py:140(run)
    16198    0.013    0.000    0.019    0.000 multi.py:43(<genexpr>)
     2002    0.012    0.000    0.113    0.000 ALU.py:6(half_adder)
     5032    0.010    0.000    0.013    0.000 multi.py:17(<genexpr>)
     1031    0.008    0.000    0.021    0.000 test_sequential.py:12(<genexpr>)
       22    0.008    0.000  109.602    4.982 sequential.py:114(__call__)
    14911    0.006    0.000    0.006    0.000 bit.py:23(__mul__)
        2    0.005    0.003    0.006    0.003 collections.py:237(namedtuple)
        1    0.005    0.005  130.674  130.674 test_sequential.py:1(<module>)
       22    0.004    0.000    0.408    0.019 ALU.py:22(add_multi)
      296    0.004    0.000    0.032    0.000 multi.py:16(__str__)
      152    0.004    0.000    0.141    0.001 multi.py:126(pad_to_digits)
        1    0.004    0.004  130.639  130.639 main.py:213(runTests)
        1    0.003    0.003    0.006    0.006 case.py:1(<module>)
        1    0.003    0.003    0.018    0.018 __init__.py:1(<module>)
     4736    0.003    0.000    0.003    0.000 bit.py:17(__repr__)
      148    0.002    0.000    0.003    0.000 case.py:473(_getAssertEqualityFunc)
     1199    0.002    0.000    0.002    0.000 bit.py:20(__int__)
     1309    0.002    0.000    0.002    0.000 {reversed}
        1    0.002    0.002    0.002    0.002 {method 'disable' of '_lsprof.Profiler' objects}
     1135    0.002    0.000    0.002    0.000 {method 'insert' of 'list' objects}
        1    0.001    0.001    0.006    0.006 result.py:1(<module>)
      619    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
      130    0.001    0.000    0.001    0.000 {max}
      148    0.001    0.000    0.004    0.000 case.py:504(assertEqual)
       19    0.001    0.000    0.001    0.000 {method 'write' of 'file' objects}
      157    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001   14.879   14.879 test_sequential.py:239(test_RAM4K)
        1    0.001    0.001    0.376    0.376 test_sequential.py:184(test_RAM64)
        1    0.001    0.001    0.002    0.002 main.py:111(parseArgs)
      108    0.001    0.000    0.001    0.000 multi.py:32(insert)
