         25887538 function calls (25841482 primitive calls) in 17.924 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 12253168    4.209    0.000    4.209    0.000 bit.py:52(nand)
  6828394    2.768    0.000    5.092    0.000 bit.py:35(__invert__)
  2063236    2.648    0.000    6.357    0.000 bit.py:39(__or__)
  1679438    1.205    0.000    2.367    0.000 bit.py:30(__and__)
   505910    0.104    0.000    0.104    0.000 multi.py:19(__iter__)
   411979    2.107    0.000    8.413    0.000 sequential.py:19(__call__)
   411972    1.247    0.000   11.144    0.000 sequential.py:36(__call__)
   411316    1.075    0.000    3.847    0.000 bit.py:56(mux)
   218824    0.318    0.000   14.572    0.000 sequential.py:73(<genexpr>)
   218178    0.156    0.000    2.026    0.000 multi.py:62(<genexpr>)
   205982    0.564    0.000   11.874    0.000 sequential.py:47(__call__)
   205972    0.405    0.000   14.256    0.000 sequential.py:60(__call__)
137700/102855    0.042    0.000    0.058    0.000 {len}
    48017    0.024    0.000    0.031    0.000 multi.py:13(__len__)
    45015    0.288    0.000   16.954    0.000 multi.py:9(__init__)
    27530    0.125    0.000    0.178    0.000 {zip}
    20883    0.007    0.000    0.007    0.000 multi.py:29(__getitem__)
    18758    0.008    0.000    0.008    0.000 sequential.py:16(__init__)
    18757    0.080    0.000    0.088    0.000 sequential.py:34(__init__)
    12976    0.013    0.000    0.078    0.000 multi.py:106(pad_multi)
    12872    0.033    0.000   14.859    0.001 sequential.py:72(__call__)
    12834    0.038    0.000    2.212    0.000 multi.py:59(multimux)
    12768    0.029    0.000    0.079    0.000 bit.py:60(dmux)
    10977    0.011    0.000    0.017    0.000 multi.py:43(<genexpr>)
    10944    0.008    0.000    0.008    0.000 {math.log}
    10050    0.006    0.000    0.006    0.000 bit.py:23(__mul__)
     9378    0.034    0.000    0.123    0.000 sequential.py:44(__init__)
     9377    0.022    0.000    0.144    0.000 sequential.py:57(__init__)
7296/1824    0.066    0.000    2.274    0.001 multi.py:74(reduce_winner)
7296/1824    0.045    0.000    0.137    0.000 multi.py:92(expand_winner)
     4498    0.006    0.000    0.006    0.000 bit.py:12(__init__)
     4498    0.004    0.000    0.004    0.000 bit.py:7(__new__)
     3536    0.003    0.000    0.005    0.000 multi.py:17(<genexpr>)
     3328    0.002    0.000    0.002    0.000 bit.py:17(__repr__)
     2713    0.004    0.000    0.004    0.000 {range}
     2662    0.011    0.000    0.031    0.000 bit.py:43(__xor__)
     2002    0.004    0.000    0.035    0.000 ALU.py:6(half_adder)
     1824    0.004    0.000    0.143    0.000 multi.py:87(dmux_multiway)
     1824    0.021    0.000    2.321    0.001 multi.py:68(multimux_multiway)
     1666    0.002    0.000    0.004    0.000 multi.py:130(<genexpr>)
     1604    0.058    0.000   17.170    0.011 sequential.py:97(__call__)
      927    0.004    0.000    0.026    0.000 multi.py:36(to_decimel)
      927    0.003    0.000    0.019    0.000 {sum}
      839    0.000    0.000    0.000    0.000 bit.py:20(__int__)
      829    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
      660    0.013    0.000    0.080    0.000 ALU.py:12(full_adder)
      586    0.015    0.000    0.160    0.000 sequential.py:70(__init__)
      563    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      419    0.001    0.000    0.002    0.000 test_sequential.py:12(<genexpr>)
      374    0.000    0.000    0.000    0.000 sequential.py:146(<genexpr>)
   220/44    0.015    0.000   17.285    0.393 sequential.py:86(__call__)
      217    0.000    0.000    0.000    0.000 {getattr}
      210    0.002    0.000    0.007    0.000 {method 'join' of 'str' objects}
      208    0.000    0.000    0.007    0.000 multi.py:16(__str__)
      113    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      108    0.000    0.000    0.000    0.000 {isinstance}
      104    0.000    0.000    0.000    0.000 case.py:473(_getAssertEqualityFunc)
      104    0.000    0.000    0.001    0.000 case.py:506(assertEqual)
      104    0.000    0.000    0.000    0.000 case.py:499(_baseAssertEqual)
      104    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       98    0.001    0.000    0.040    0.000 multi.py:125(pad_to_digits)
       98    0.000    0.000    0.000    0.000 loader.py:134(isTestMethod)
       88    0.000    0.000    0.000    0.000 {min}
     83/3    0.001    0.000    0.161    0.054 sequential.py:81(__init__)
       76    0.000    0.000    0.006    0.000 multi.py:23(__eq__)
       76    0.000    0.000    0.000    0.000 {max}
       54    0.000    0.000    0.000    0.000 {bin}
       54    0.000    0.000    0.000    0.000 case.py:206(addTypeEqualityFunc)
       54    0.001    0.000    0.028    0.001 test_sequential.py:8(from_num)
       54    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
       54    0.000    0.000    0.000    0.000 multi.py:32(insert)
       46    0.000    0.000    0.001    0.000 collections.py:277(<genexpr>)
       45    0.000    0.000    0.000    0.000 bit.py:26(__nonzero__)
       38    0.001    0.000    0.001    0.000 {method 'isalnum' of 'str' objects}
       26    0.000    0.000    0.000    0.000 runner.py:17(__getattr__)
       25    0.000    0.000    0.000    0.000 case.py:410(assertFalse)
       25    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
       24    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
       22    0.000    0.000    0.144    0.007 sequential.py:138(__call__)
       22    0.000    0.000    0.101    0.005 ALU.py:36(inc)
       22    0.000    0.000    0.000    0.000 sre_parse.py:201(get)
       22    0.003    0.000    0.086    0.004 ALU.py:22(add_multi)
       20    0.000    0.000    0.000    0.000 case.py:416(assertTrue)
       20    0.000    0.000    0.000    0.000 {hasattr}
       17    0.000    0.000    0.000    0.000 test_sequential.py:29(<genexpr>)
       17    0.000    0.000    0.000    0.000 sequential.py:137(<genexpr>)
       17    0.000    0.000    0.000    0.000 test_sequential.py:28(<genexpr>)
       17    0.000    0.000    0.000    0.000 test_sequential.py:25(<genexpr>)
       17    0.001    0.000    0.001    0.000 {method 'write' of 'file' objects}
       17    0.000    0.000    0.000    0.000 test_sequential.py:26(<genexpr>)
       17    0.000    0.000    0.000    0.000 test_sequential.py:27(<genexpr>)
       16    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
       15    0.000    0.000    0.000    0.000 test_sequential.py:57(<genexpr>)
       15    0.000    0.000    0.000    0.000 test_sequential.py:51(<genexpr>)
       15    0.000    0.000    0.000    0.000 test_sequential.py:55(<genexpr>)
       13    0.000    0.000    0.000    0.000 test_sequential.py:56(<genexpr>)
       13    0.000    0.000    0.000    0.000 test_sequential.py:54(<genexpr>)
       13    0.000    0.000    0.000    0.000 test_sequential.py:50(<genexpr>)
    13/12    0.000    0.000    0.000    0.000 {iter}
       11    0.000    0.000    0.000    0.000 suite.py:157(_get_previous_module)
       11    0.000    0.000    0.000    0.000 result.py:65(_setupStdout)
       11    0.000    0.000    0.000    0.000 result.py:84(_restoreStdout)
       10    0.000    0.000    0.000    0.000 suite.py:46(addTest)
       10    0.000    0.000    0.000    0.000 test_sequential.py:53(<genexpr>)
       10    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
       10    0.000    0.000    0.000    0.000 test_sequential.py:49(<genexpr>)
       10    0.000    0.000    0.000    0.000 suite.py:225(_tearDownPreviousClass)
     10/6    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
       10    0.000    0.000    0.000    0.000 test_sequential.py:52(<genexpr>)
       10    0.000    0.000    0.000    0.000 test_sequential.py:42(<genexpr>)
       10    0.000    0.000    0.000    0.000 suite.py:290(_isnotsuite)
        9    0.000    0.000    0.000    0.000 suite.py:165(_handleModuleFixture)
        9    0.000    0.000   17.886    1.987 case.py:390(__call__)
        9    0.000    0.000    0.000    0.000 functools.py:84(__init__)
        9    0.000    0.000    0.000    0.000 suite.py:125(_handleClassSetUp)
        9    0.000    0.000    0.000    0.000 case.py:180(__init__)
        9    0.000    0.000    0.000    0.000 result.py:79(stopTest)
        9    0.000    0.000    0.000    0.000 {setattr}
        9    0.000    0.000    0.000    0.000 case.py:229(setUp)
        9    0.000    0.000    0.001    0.000 runner.py:57(addSuccess)
        9    0.023    0.003   17.886    1.987 case.py:293(run)
        9    0.000    0.000    0.000    0.000 case.py:374(doCleanups)
        9    0.000    0.000    0.000    0.000 runner.py:50(startTest)
        9    0.000    0.000    0.000    0.000 {_sre.getlower}
        9    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
        9    0.000    0.000    0.000    0.000 result.py:59(startTest)
        9    0.000    0.000    0.000    0.000 result.py:126(addSuccess)
        9    0.000    0.000    0.000    0.000 {method 'flush' of 'file' objects}
