         3336581 function calls (3329940 primitive calls) in 2.312 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1566558    0.530    0.000    0.530    0.000 bit.py:52(nand)
   870816    0.352    0.000    0.643    0.000 bit.py:35(__invert__)
   261348    0.334    0.000    0.801    0.000 bit.py:39(__or__)
   215866    0.150    0.000    0.298    0.000 bit.py:30(__and__)
    64020    0.013    0.000    0.013    0.000 multi.py:19(__iter__)
    51531    0.266    0.000    1.043    0.000 sequential.py:19(__call__)
    51524    0.155    0.000    1.379    0.000 sequential.py:36(__call__)
    51220    0.132    0.000    0.474    0.000 bit.py:56(mux)
    27336    0.040    0.000    1.797    0.000 sequential.py:73(<genexpr>)
    27064    0.020    0.000    0.250    0.000 multi.py:62(<genexpr>)
    25758    0.068    0.000    1.466    0.000 sequential.py:47(__call__)
    25748    0.050    0.000    1.758    0.000 sequential.py:60(__call__)
19086/13772    0.006    0.000    0.009    0.000 {len}
     7682    0.007    0.000    0.011    0.000 multi.py:43(<genexpr>)
     7114    0.004    0.000    0.005    0.000 multi.py:13(__len__)
     6991    0.004    0.000    0.004    0.000 bit.py:23(__mul__)
     5891    0.036    0.000    2.097    0.000 multi.py:9(__init__)
     4191    0.001    0.000    0.001    0.000 multi.py:29(__getitem__)
     3634    0.004    0.000    0.004    0.000 bit.py:12(__init__)
     3634    0.003    0.000    0.003    0.000 bit.py:7(__new__)
     3418    0.017    0.000    0.023    0.000 {zip}
     2788    0.003    0.000    0.005    0.000 multi.py:17(<genexpr>)
     2662    0.010    0.000    0.028    0.000 bit.py:43(__xor__)
     2624    0.003    0.000    0.003    0.000 bit.py:17(__repr__)
     2374    0.001    0.000    0.001    0.000 sequential.py:16(__init__)
     2373    0.004    0.000    0.005    0.000 sequential.py:34(__init__)
     2002    0.003    0.000    0.028    0.000 ALU.py:6(half_adder)
     1707    0.003    0.000    0.028    0.000 multi.py:106(pad_multi)
     1608    0.004    0.000    1.832    0.001 sequential.py:72(__call__)
     1592    0.005    0.000    0.274    0.000 multi.py:59(multimux)
     1526    0.003    0.000    0.009    0.000 bit.py:60(dmux)
     1308    0.001    0.000    0.001    0.000 {math.log}
     1207    0.001    0.000    0.003    0.000 multi.py:130(<genexpr>)
     1186    0.004    0.000    0.009    0.000 sequential.py:44(__init__)
     1185    0.002    0.000    0.010    0.000 sequential.py:57(__init__)
  872/218    0.008    0.000    0.272    0.001 multi.py:74(reduce_winner)
  872/218    0.005    0.000    0.016    0.000 multi.py:92(expand_winner)
      691    0.003    0.000    0.017    0.000 multi.py:36(to_decimel)
      691    0.002    0.000    0.013    0.000 {sum}
      660    0.010    0.000    0.066    0.000 ALU.py:12(full_adder)
      620    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      603    0.000    0.000    0.000    0.000 bit.py:20(__int__)
      535    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      468    0.001    0.000    0.001    0.000 {range}
      374    0.000    0.000    0.000    0.000 sequential.py:146(<genexpr>)
      218    0.000    0.000    0.017    0.000 multi.py:87(dmux_multiway)
      218    0.003    0.000    0.278    0.001 multi.py:68(multimux_multiway)
      205    0.000    0.000    0.000    0.000 {getattr}
      196    0.007    0.000    2.073    0.011 sequential.py:97(__call__)
      169    0.000    0.000    0.001    0.000 test_sequential.py:12(<genexpr>)
      166    0.001    0.000    0.007    0.000 {method 'join' of 'str' objects}
      164    0.000    0.000    0.007    0.000 multi.py:16(__str__)
      107    0.000    0.000    0.000    0.000 {isinstance}
      103    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       97    0.000    0.000    0.000    0.000 loader.py:134(isTestMethod)
       91    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       82    0.000    0.000    0.000    0.000 case.py:473(_getAssertEqualityFunc)
       82    0.000    0.000    0.001    0.000 case.py:506(assertEqual)
